subset,time_serial_optimized,time_parallel_adaptive,speedup,area_serial_optimized,area_parallel_adaptive,iou
1,24.9710373878479,19.10792899131775,1.306841646689928,1797591.957489157,1797591.957489157,1.0
5,30.229156732559204,10.154972553253174,2.9767836962666343,8600090.247796347,8599264.194565728,0.9999039483067247
10,40.416956663131714,11.589653968811035,3.4873307496408392,15296803.660752283,15092042.587223321,0.9866141268417844
15,54.06432914733887,15.050044298171997,3.592303655472005,16782472.911976676,16442164.012878126,0.9797223626766165
25,93.49133777618408,17.908876657485962,5.220390958307507,20767679.11138713,20226689.341080558,0.9739503982411812
50,168.88243532180786,34.05936408042908,4.958472945149606,29511803.004304085,28651806.49548257,0.9708592352457763
100,417.13475346565247,75.05699300765991,5.557573475173485,37463691.78522619,37134697.31219552,0.9912183114542811
